EAGLE Version 9.2.1 Copyright (c) 1988-2018 Autodesk, Inc.
List of signals with lengthSignal	l [mm]	diff. [mm]	diff. [%]	unrouted [mm]
N$5	2.349671140	0.000000000	0.000	--
N$4	2.675243000	0.325571860	13.856	--
N$23	3.002758931	0.653087792	27.795	--
RDC_RD_P	3.354222408	1.004551269	42.753	--
RDC_RD_N	3.382304782	1.032633642	43.948	--
USB_DP_N	3.645323072	1.295651932	55.142	--
USB_DP_P	3.656921052	1.307249912	55.635	--
N$1	4.470881384	2.121210245	90.277	--
USB_BOOT	5.677798990	3.328127850	141.642	--
QSPI_SD0	5.867807140	3.518136001	149.729	--
RX_RD_P	6.500093288	4.150422148	176.638	--
TX_TD_P	6.518596825	4.168925685	177.426	--
RX_RD_N	6.518632470	4.168961331	177.427	--
TX_TD_N	6.524729365	4.175058225	177.687	--
CC1	7.373412839	5.023741700	213.806	--
QSPI_SCLK	7.526091411	5.176420272	220.304	--
CC2	7.929800574	5.580129435	237.486	--
RP_XO	8.274110240	5.924439100	252.139	--
QSPI_SD3	8.657167889	6.307496749	268.442	--
N$14	9.072620430	6.722949291	286.123	--
QSPI_SD2	10.484941604	8.135270464	346.230	--
QSPI_SD1	13.212426383	10.862755244	462.310	--
TCT	13.993929650	11.644258510	495.570	--
XO	14.033984953	11.684313814	497.274	--
RP_XI	14.996701098	12.647029958	538.247	--
N$7	17.067078928	14.717407789	626.360	--
VREF	18.108031740	15.758360600	670.662	--
!QSPI_SS	18.744084625	16.394413485	697.732	--
RCT	19.194623443	16.844952304	716.907	--
!W5500_CS	20.455683833	18.106012693	770.576	--
W5500_SCK	20.485123785	18.135452645	771.829	--
+5V	21.297787873	18.948116734	806.416	--
!W5500_RST	22.817934873	20.468263733	871.112	--
W5500_MOSI	22.892777814	20.543106675	874.297	--
RD_N	23.000971820	20.651300680	878.902	--
RD_P	23.000972028	20.651300888	878.902	--
W5500_MISO	23.842475321	21.492804182	914.715	--
TD_P	24.113072334	21.763401195	926.232	--
TD_N	24.145143194	21.795472055	927.597	--
AVDD	24.592814442	22.243143303	946.649	--
USB_SHIELD	24.661893070	22.312221931	949.589	--
!W5500_INT	25.615291815	23.265620675	990.165	--
!LINK	25.890186576	23.540515437	1001.864	--
!ACT	26.915431298	24.565760159	1045.498	--
N$3	28.742413260	26.392742120	1123.253	--
N$2	29.906881297	27.557210158	1172.811	--
SWDIO	32.474527783	30.124856643	1282.088	--
+1V1	34.153919084	31.804247945	1353.562	--
N$17	36.389025275	34.039354136	1448.686	--
SWCLK	39.039728562	36.690057423	1561.498	--
CHASSIS	43.232230658	40.882559518	1739.927	--
ADC_V_USB	44.085568995	41.735897856	1776.244	--
VBUS	47.496611943	45.146940804	1921.415	--
+12V_MEA	52.713854828	50.364183688	2143.457	--
+3V3_A	56.505435884	54.155764744	2304.823	--
MCP_REL_RST	59.323095289	56.973424150	2424.740	--
KEY_2	63.577316401	61.227645262	2605.796	--
MCP_DSP_RST	64.403125040	62.053453900	2640.942	--
KEY_0	64.853436654	62.503765514	2660.107	--
KEY_3	66.827960732	64.478289592	2744.141	--
KEY_1	67.960292650	65.610621511	2792.332	--
UART0_TX	73.294278198	70.944607058	3019.342	--
LCD_MOSI	73.815523888	71.465852749	3041.526	--
I2C0_SDA	73.987006264	71.637335124	3048.824	--
UART0_RX	75.696604633	73.346933494	3121.583	--
LCD_SCLK	75.936636354	73.586965214	3131.798	--
LCD_BL	76.184418573	73.834747434	3142.344	--
DP_P	77.473959093	75.124287954	3197.226	--
DP_N	77.477528948	75.127857808	3197.378	--
I2C0_SCL	79.789531019	77.439859879	3295.774	--
LCD_DC	82.579805161	80.230134021	3414.526	--
I2C1_SCL	84.312689649	81.963018510	3488.276	--
I2C1_SDA	84.430871467	82.081200327	3493.306	--
LCD_CS	87.130349625	84.780678486	3608.193	--
LCD_MISO	89.485021364	87.135350224	3708.406	--
LCD_RES	137.608558260	135.258887121	5756.503	--
GND	173.554040942	171.204369803	7286.312	--
+3V3	342.522888341	340.173217201	14477.482	--
